tweetId|tweetDate|tweetText|hashtagList|location|numberRetweets|userMentions_userName|attitude
1016471655600836608|07-09-2018|RT @GrowthEnergy: As June 1 marks the beginning of fuel restrictions on E15, leaders across the heartland are urging @USDA to push @EPA to?|||609|@GrowthEnergy,@USDA,@EPA|positive
1016471394333483008|07-09-2018|RT @NYSEDNews: Free #SummerMeals are available for kids & teens. Text 'food' to 877-877 or visit https://t.co/1EZkdaazhu to find out where?|#SummerMeals||3|@NYSEDNews|positive
1016469365825384449|07-09-2018|RT @GrowthEnergy: As June 1 marks the beginning of fuel restrictions on E15, leaders across the heartland are urging @USDA to push @EPA to?|||609|@GrowthEnergy,@USDA,@EPA|positive
1016468329450622976|07-09-2018|RT @nickbrusky: Today is my last day of service at the @USDA before I return to Dayton, OH.

Thank you @SecretarySonny and @realDonaldTrump?|||87|@nickbrusky,@USDA,@SecretarySonny,@realDonaldTrump|positive
1016468046578192384|07-09-2018|RT @Harrymeanwell4: @RBReich @ModFarm @GOP @USDA @FarmAid 
How many farmers are being hurt?|||1|@Harrymeanwell4,@RBReich,@ModFarm,@GOP,@USDA,@FarmAid|positive
1016467481995735045|07-09-2018|RT @FERNnews: Nearly 20% of U.S. children lived in poverty in 2016, compared to 18% in 2007, before the recession, according to @uscensusbu?|||3|@FERNnews|positive
1016465958611742722|07-09-2018|RT @MRFImpacts: For #NationalPicnicMonth, learn how 14 LGUs & the @USDA are developing new food safety methods that keep packaged watermelo?|#NationalPicnicMonth||1|@MRFImpacts,@USDA|positive
1016463927302074370|07-09-2018|RT @USDANutrition: When school is not in session, @USDA Summer Meal Programs ensure that low-income children continue to receive nutritious?|||29|@USDANutrition,@USDA|positive
1016463855457714176|07-09-2018|RT @sarahlkehl: Dr. Stephen Ostroff of FDA: Despite the rhetoric over the past year, there are lots of areas where @USDA and @FDA work fant?|||2|@sarahlkehl,@USDA,@FdA|positive
1016462529453789184|07-09-2018|RT @CamarilloMVZ: Mi reconocimiento a todo el equipo que hizo posible, con su trabajo arduo y dedicación constante, la certificación por pa?|||28|@CamarilloMVZ|positive
1016461453929242624|07-09-2018|@GrowthEnergy @USDA @EPA I thought Ed Asner was dead?|||0|@GrowthEnergy,@USDA,@EPA|positive
1016460921609302020|07-09-2018|RT @70GoingOn100: @AmandaZZ100 @offofthecouch @USDA @US_FDA @RobertLustigMD @drcateshanahan @DrFeinman Yes, Sugar, i.e. refined Saccharides?|||1|@70GoingOn100,@AmandaZZ100,@offofthecouch,@USDA,@US_FDA,@RobertLustigMD,@drcateshanahan,@DrFeinman|positive
1016460103963348993|07-09-2018|RT @iycwhat: @TheCavalryGroup @ele_facts @CityHorsesRock @theresa_mh3940 @RealGreyhound @mamabearwelde   @VoteFiore @steveserokalv @mayorof?|||3|@iycwhat,@TheCavalryGroup,@ele_facts,@CityHorsesRock,@theresa_mh3940,@RealGreyhound,@mamabearwelde,@VoteFiore,@steveserokalv|positive
1016456960181325824|07-09-2018|RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?|||47|@peta,@utmbhealth,@USDA|positive
1016456893210996737|07-09-2018|RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?|||47|@peta,@utmbhealth,@USDA|positive
1016455844567842818|07-09-2018|@ColeKOIN @OregonGovBrown @repgregwalden @SecretarySonny https://t.co/VL0dE3lUJO|||0|@ColeKOIN,@OregonGovBrown,@repgregwalden,@SecretarySonny|positive
1016454069077110785|07-09-2018|RT @CivilEats: Three reasons to be concerned about the @USDA?s proposed GMO labeling rules Eats https://t.co/oce57deLA8 https://t.co/B3KPVw?|||34|@CivilEats,@USDA|positive
1016452582649356288|07-09-2018|@USDA_NRCS When are we going to get a Chief at NRCS?|||0|@USDA_NRCS|positive
1016452392211148800|07-09-2018|RT @DavisDrew: Amazing speakers @nextcentcit's Broadband Summit (July 23/24) in Pittsburgh! Register today! Looking for successful rural st?|||6|@DavisDrew,@NextCentCit|positive
1016451875141505024|07-09-2018|RT @USDA: Here's a little pick-me-up for those feeling the Monday blues. #MondayMotivation https://t.co/2kTsoV1xUw|#MondayMotivation||43|@USDA|positive
1016450531559116800|07-09-2018|RT @Oloore: GO #ORGANIC @ #NOABS2018 
cc: @OrganicCenter 
@CORAFNews 
@FmardNg 
@USDA 
@UEMOA_Officiel 
@ecowas_cedeao 
@BBCAfrica 
@NOANNi?|#ORGANIC,#NOABS2018||1|@Oloore,@OrganicCenter,@CORAFNews,@FmardNg,@USDA,@UEMOA_Officiel,@ecowas_cedeao,@BBCAfrica|positive
1016450396590624768|07-09-2018|RT @FERNnews: Nearly 20% of U.S. children lived in poverty in 2016, compared to 18% in 2007, before the recession, according to @uscensusbu?|||3|@FERNnews|positive
1016450174904946688|07-09-2018|RT @USDA_NRCS: High tunnels protect plants from severe weather & extend the growing seasons. https://t.co/tUxSmgkJ1B https://t.co/4bXBjFaU9Q|||15|@USDA_NRCS|positive
1016449919324966914|07-09-2018|@SenatorFischer @USDA How?s the water in Flint?  And oh yeah, speak up about the tariffs!|||0|@SenatorFischer,@USDA|positive
1016449416729800704|07-09-2018|Nearly 20% of U.S. children lived in poverty in 2016, compared to 18% in 2007, before the recession, according to? https://t.co/ZThiyO2oOw|||3||positive
1016448983869227009|07-09-2018|Getting a little #MondayMotivation Kids nutritional needs don?t get a summer break. @RD_Colorado lends a hand @USDA? https://t.co/PIgzUDJYoW|#MondayMotivation||0|@RD_Colorado,@USDA|positive
1016446267445178369|07-09-2018|RT @PatriciaHammes2: @POTUS @RangeReporter @KarinHousley @RepTomEmmer @SecretaryZinke @SecretarySonny @GoPolyMet @TwinMetals @NatResources?|||7|@PatriciaHammes2,@POTUS,@RangeReporter,@KarinHousley,@RepTomEmmer,@SecretaryZinke,@SecretarySonny,@GoPolyMet,@TwinMetals,@NatResources|positive
1016446071642492928|07-09-2018|RT @PatriciaHammes2: @POTUS @DOIDepSec @SecretaryRoss @SecretaryPerry @EPA @SecretarySonny @SecretaryAcosta @DonaldJTrump @amyklobuchar @se?|||7|@PatriciaHammes2,@POTUS,@DOIDepSec,@SecretaryRoss,@SecretaryPerry,@EPA,@SecretarySonny,@SecretaryAcosta,@DonaldJTrump,@amyklobuchar|positive
1016446022220963840|07-09-2018|RT @PatriciaHammes2: @SecretarySonny We are tired of the countless studies concerning Cu/Ni mining in the @SuperiorNF . You need to end the?|||7|@PatriciaHammes2,@SecretarySonny,@SuperiorNF|positive
1016445999206846465|07-09-2018|@caseliskar @SecretarySonny @TwinMetals @SuperiorNF @MinnesotaMiners We need more families moving into our communit? https://t.co/CJfEPRKfAO|||0|@caseliskar,@SecretarySonny,@TwinMetals,@SuperiorNF,@MinnesotaMiners|positive
