tweetId|tweetDate|tweetText|hashtagList|location|numberRetweets|userMentions_userName
1029517642988703744|08-14-2018|RT @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?|||152|@ASPCA,@USDA
1029517597656530945|08-14-2018|RT @SecretarySonny: More free-flowing conversations with California producers at Joseph Gallo Farms in Atwater. Able to catch a quick tour?|||19|@SecretarySonny
1029517580132741121|08-14-2018|RT @SecretarySonny: Well-attended town hall event in Modesto with @RepJeffDenham. Heard from folks on a variety of topics: state water issu?|||20|@SecretarySonny,@RepJeffDenham
1029517569357533184|08-14-2018|RT @SecretarySonny: Continuing our California trip w/visit to Modesto farm of Paul Wenger, 3rd generation farmer & past president of @CAFar?|||29|@SecretarySonny
1029516741326471168|08-14-2018|RT @USDA_NRCS: #DYK there are more microbes in a teaspoon of healthy soil than there are people on Earth? https://t.co/pEHIAnQEdR #soilheal?|#DYK||42|@USDA_NRCS
1029516715154186240|08-14-2018|RT @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?|||152|@ASPCA,@USDA
1029516680563552256|08-14-2018|RT @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?|||152|@ASPCA,@USDA
1029516258973081600|08-14-2018|@ASPCA @DaveBautista @USDA Signed!|||0|@ASPCA,@DaveBautista,@USDA
1029516243462709248|08-14-2018|RT @ArcelorMittalUS: ? @SOGL Partnership Awards $6.6 Million in Conservation Grants for Great Lakes Restoration >> https://t.co/uB1V0sSsAd?|||5|@ArcelorMittalUS,@SOGL
1029515999886733313|08-14-2018|RT @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?|||152|@ASPCA,@USDA
1029515697192361985|08-14-2018|RT @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?|||152|@ASPCA,@USDA
1029515579454119936|08-14-2018|RT @USDA_NRCS: #DYK there are more microbes in a teaspoon of healthy soil than there are people on Earth? https://t.co/pEHIAnQEdR #soilheal?|#DYK||42|@USDA_NRCS
1029515560822943745|08-14-2018|RT @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?|||152|@ASPCA,@USDA
1029515443416051712|08-14-2018|@dtcampbe @USDA @ljsrodriguez @UConnNeag Looks awesome. Can?t wait to hear all about it!|||0|@dtcampbe,@USDA,@ljsrodriguez,@UConnNeag
1029515196572692481|08-14-2018|RT @USDA_NRCS: An upgraded irrigation system can help you save water, time & money. https://t.co/5fD95pbUQC  #WaterQualityMonth https://t.c?|#WaterQualityMonth||6|@USDA_NRCS
1029514826043801607|08-14-2018|RT @PatriciaHammes2: @SecretarySonny Don't you think its time to do some house cleaning @forestservice . Find people who believe in multipl?|||6|@PatriciaHammes2,@SecretarySonny,@forestservice
1029514770909736960|08-14-2018|RT @usdafsa: #Wildfires & #Hurricanes caused devastating losses for many farmers and ranchers in 2017. Get help through the new recovery pr?|#Wildfires,#Hurricanes||10|@usdafsa
1029514640890515457|08-14-2018|RT @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?|||152|@ASPCA,@USDA
1029514309355941888|08-14-2018|RT @FarmersGov: #DYK In Maryland alone, @USDA has helped landowners establish 870+ acres of young forest for the golden-winged warbler & 31?|#DYK||5|@FarmersGov,@USDA
1029513537780105217|08-14-2018|The Hazards of Genetically Engineered Foods https://t.co/ucXzZdRSlx via @EHPonline @NCBI @nlm_news @NIH #PubMed - H? https://t.co/IZdD4H2Fwi|#PubMed||0|@EHPonline,@NCBI,@nlm_news,@NIH
1029513442116493312|08-14-2018|RT @SecretarySonny: Well-attended town hall event in Modesto with @RepJeffDenham. Heard from folks on a variety of topics: state water issu?|||20|@SecretarySonny,@RepJeffDenham
1029513290832142337|08-14-2018|RT @SecretarySonny: More free-flowing conversations with California producers at Joseph Gallo Farms in Atwater. Able to catch a quick tour?|||19|@SecretarySonny
1029513212570624000|08-14-2018|RT @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?|||152|@ASPCA,@USDA
1029512469662720000|08-14-2018|RT @usdafsa: #Wildfires & #Hurricanes caused devastating losses for many farmers and ranchers in 2017. Get help through the new recovery pr?|#Wildfires,#Hurricanes||10|@usdafsa
1029512170801954816|08-14-2018|RT @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?|||152|@ASPCA,@USDA
1029512119514025987|08-14-2018|RT @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?|||152|@ASPCA,@USDA
1029511859106271233|08-14-2018|RT @friskeyp: Rats are for experiments, not kittens! #INHUMANITY ?@HumaneSociety? ?@animalrescuers? ?@USDA? This is CRIMINAL!!! ?@peta?  ht?|#INHUMANITY||1|@friskeyp,@HumaneSociety,@animalrescuers,@USDA,@peta
1029511021545906176|08-14-2018|RT @CDFA_LegFed: The @USDA issued a Notice of Solicitation of Applications for the 2019 REAP program. More info here: https://t.co/VZRMtNOI?|||1|@CDFA_LegFed,@USDA
1029510732285730818|08-14-2018|RT @almondalliance: The Almond Alliance and industry representatives met with   @SecretarySonny today to discuss how retaliatory #tariffs a?|#tariffs||4|@almondalliance,@SecretarySonny
1029510686806892544|08-14-2018|RT @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?|||152|@ASPCA,@USDA
1029510650081562625|08-14-2018|RT @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?|||152|@ASPCA,@USDA
1029510485987618816|08-14-2018|@MissConnieTran @CBS47 @SecretarySonny There's many many questions asked......but.....never answered.  I'm tired of? https://t.co/Hukof8PJ5h|||0|@MissConnieTran,@CBS47,@SecretarySonny
1029510189941178368|08-14-2018|RT @argenbiooficial: ?Las políticas deberían promover la innovación científica, sin crear barreras innecesarias ni estigmatizar a las nueva?|||3|@argenbiooficial
1029510039067738112|08-14-2018|@RepJeffDenham @SecretarySonny Congressman:  Socialists and environmental wackos have denied farmers in Central Cal? https://t.co/asKKMNsVNS|||0|@RepJeffDenham,@SecretarySonny
1029509241864900609|08-14-2018|RT @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?|||152|@ASPCA,@USDA
1029509223246254081|08-14-2018|The Almond Alliance and industry representatives met with   @SecretarySonny today to discuss how retaliatory? https://t.co/OnoT0EWbGG|||4|@SecretarySonny
