tweetId,tweetDate,tweetText,hashtagList,location,numberRetweets,userMentions_userName,attitude,tweetSentiment,,manualSentiment
1.01647E+18,7/9/2018,"RT @GrowthEnergy: As June 1 marks the beginning of fuel restrictions on E15, leaders across the heartland are urging @USDA to push @EPA to?",,,609,"@GrowthEnergy,@USDA,@EPA",positive,pos,,Negative
1.01647E+18,7/9/2018,RT @NYSEDNews: Free #SummerMeals are available for kids & teens. Text 'food' to 877-877 or visit https://t.co/1EZkdaazhu to find out where?,#SummerMeals,,3,@NYSEDNews,positive,neg,,Positive
1.01647E+18,7/9/2018,"RT @GrowthEnergy: As June 1 marks the beginning of fuel restrictions on E15, leaders across the heartland are urging @USDA to push @EPA to?",,,609,"@GrowthEnergy,@USDA,@EPA",positive,pos,,Negative
1.01647E+18,7/9/2018,"RT @nickbrusky: Today is my last day of service at the @USDA before I return to Dayton, OH.",,,,,,neg,,Negative
Thank you @SecretarySonny and @realDonaldTrump?,,,87,"@nickbrusky,@USDA,@SecretarySonny,@realDonaldTrump",positive,,,error,,
1.01647E+18,7/9/2018,RT @Harrymeanwell4: @RBReich @ModFarm @GOP @USDA @FarmAid ,,,,,,neg,,
How many farmers are being hurt?,,,1,"@Harrymeanwell4,@RBReich,@ModFarm,@GOP,@USDA,@FarmAid",positive,,,error,,
1.01647E+18,7/9/2018,"RT @FERNnews: Nearly 20% of U.S. children lived in poverty in 2016, compared to 18% in 2007, before the recession, according to @uscensusbu?",,,3,@FERNnews,positive,neg,,Negative
1.01647E+18,7/9/2018,"RT @MRFImpacts: For #NationalPicnicMonth, learn how 14 LGUs & the @USDA are developing new food safety methods that keep packaged watermelo?",#NationalPicnicMonth,,1,"@MRFImpacts,@USDA",positive,pos,,Positive
1.01646E+18,7/9/2018,"RT @USDANutrition: When school is not in session, @USDA Summer Meal Programs ensure that low-income children continue to receive nutritious?",,,29,"@USDANutrition,@USDA",positive,neg,,Positive
1.01646E+18,7/9/2018,"RT @sarahlkehl: Dr. Stephen Ostroff of FDA: Despite the rhetoric over the past year, there are lots of areas where @USDA and @FDA work fant?",,,2,"@sarahlkehl,@USDA,@FdA",positive,pos,,Positive
1.01646E+18,7/9/2018,"RT @CamarilloMVZ: Mi reconocimiento a todo el equipo que hizo posible, con su trabajo arduo y dedicación constante, la certificación por pa?",,,28,@CamarilloMVZ,positive,pos,,
1.01646E+18,7/9/2018,@GrowthEnergy @USDA @EPA I thought Ed Asner was dead?,,,0,"@GrowthEnergy,@USDA,@EPA",positive,neg,,Negative
1.01646E+18,7/9/2018,"RT @70GoingOn100: @AmandaZZ100 @offofthecouch @USDA @US_FDA @RobertLustigMD @drcateshanahan @DrFeinman Yes, Sugar, i.e. refined Saccharides?",,,1,"@70GoingOn100,@AmandaZZ100,@offofthecouch,@USDA,@US_FDA,@RobertLustigMD,@drcateshanahan,@DrFeinman",positive,pos,,Positive
1.01646E+18,7/9/2018,RT @iycwhat: @TheCavalryGroup @ele_facts @CityHorsesRock @theresa_mh3940 @RealGreyhound @mamabearwelde   @VoteFiore @steveserokalv @mayorof?,,,3,"@iycwhat,@TheCavalryGroup,@ele_facts,@CityHorsesRock,@theresa_mh3940,@RealGreyhound,@mamabearwelde,@VoteFiore,@steveserokalv",positive,neg,,Neither
1.01646E+18,7/9/2018,"RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?",,,47,"@peta,@utmbhealth,@USDA",positive,neg,,Negative
1.01646E+18,7/9/2018,"RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?",,,47,"@peta,@utmbhealth,@USDA",positive,neg,,Negative
1.01646E+18,7/9/2018,@ColeKOIN @OregonGovBrown @repgregwalden @SecretarySonny https://t.co/VL0dE3lUJO,,,0,"@ColeKOIN,@OregonGovBrown,@repgregwalden,@SecretarySonny",positive,neg,,Neither
1.01645E+18,7/9/2018,RT @CivilEats: Three reasons to be concerned about the @USDA?s proposed GMO labeling rules Eats https://t.co/oce57deLA8 https://t.co/B3KPVw?,,,34,"@CivilEats,@USDA",positive,pos,,Negative
1.01645E+18,7/9/2018,@USDA_NRCS When are we going to get a Chief at NRCS?,,,0,@USDA_NRCS,positive,pos,,Positive
1.01645E+18,7/9/2018,RT @DavisDrew: Amazing speakers @nextcentcit's Broadband Summit (July 23/24) in Pittsburgh! Register today! Looking for successful rural st?,,,6,"@DavisDrew,@NextCentCit",positive,pos,,Positive
1.01645E+18,7/9/2018,RT @USDA: Here's a little pick-me-up for those feeling the Monday blues. #MondayMotivation https://t.co/2kTsoV1xUw,#MondayMotivation,,43,@USDA,positive,neg,,Positive
1.01645E+18,7/9/2018,RT @Oloore: GO #ORGANIC @ #NOABS2018 ,,,,,,neg,,Positive
1.01645E+18,7/9/2018,"RT @FERNnews: Nearly 20% of U.S. children lived in poverty in 2016, compared to 18% in 2007, before the recession, according to @uscensusbu?",,,3,@FERNnews,positive,neg,,Negative
1.01645E+18,7/9/2018,RT @USDA_NRCS: High tunnels protect plants from severe weather & extend the growing seasons. https://t.co/tUxSmgkJ1B https://t.co/4bXBjFaU9Q,,,15,@USDA_NRCS,positive,neg,,Positive
1.01645E+18,7/9/2018,"@SenatorFischer @USDA How?s the water in Flint?  And oh yeah, speak up about the tariffs!",,,0,"@SenatorFischer,@USDA",positive,pos,,Negative
1.01645E+18,7/9/2018,"Nearly 20% of U.S. children lived in poverty in 2016, compared to 18% in 2007, before the recession, according to? https://t.co/ZThiyO2oOw",,,3,,positive,neg,,Negative
1.01645E+18,7/9/2018,Getting a little #MondayMotivation Kids nutritional needs don?t get a summer break. @RD_Colorado lends a hand @USDA? https://t.co/PIgzUDJYoW,#MondayMotivation,,0,"@RD_Colorado,@USDA",positive,neg,,Positive
1.01645E+18,7/9/2018,RT @PatriciaHammes2: @POTUS @RangeReporter @KarinHousley @RepTomEmmer @SecretaryZinke @SecretarySonny @GoPolyMet @TwinMetals @NatResources?,,,7,"@PatriciaHammes2,@POTUS,@RangeReporter,@KarinHousley,@RepTomEmmer,@SecretaryZinke,@SecretarySonny,@GoPolyMet,@TwinMetals,@NatResources",positive,neg,,Neither
1.01645E+18,7/9/2018,RT @PatriciaHammes2: @POTUS @DOIDepSec @SecretaryRoss @SecretaryPerry @EPA @SecretarySonny @SecretaryAcosta @DonaldJTrump @amyklobuchar @se?,,,7,"@PatriciaHammes2,@POTUS,@DOIDepSec,@SecretaryRoss,@SecretaryPerry,@EPA,@SecretarySonny,@SecretaryAcosta,@DonaldJTrump,@amyklobuchar",positive,neg,,Neither
1.01645E+18,7/9/2018,RT @PatriciaHammes2: @SecretarySonny We are tired of the countless studies concerning Cu/Ni mining in the @SuperiorNF . You need to end the?,,,7,"@PatriciaHammes2,@SecretarySonny,@SuperiorNF",positive,neg,,Negative
1.01645E+18,7/9/2018,@caseliskar @SecretarySonny @TwinMetals @SuperiorNF @MinnesotaMiners We need more families moving into our communit? https://t.co/CJfEPRKfAO,,,0,"@caseliskar,@SecretarySonny,@TwinMetals,@SuperiorNF,@MinnesotaMiners",positive,pos,,Negative
1.01645E+18,7/9/2018,RT @MinnesotaMiners: @POTUS @SecretaryZinke @SecretarySonny @DOIDepSec @DOIPressSec @USRepRickNolan @RepTomEmmer @RepGosar @RepWesterman @R?,,,10,"@MinnesotaMiners,@POTUS,@SecretaryZinke,@SecretarySonny,@DOIDepSec,@DOIPressSec,@USRepRickNolan,@RepTomEmmer,@RepGosar,@RepWesterman",positive,neg,,Neither
1.01645E+18,7/9/2018,RT @caseliskar: @SecretarySonny Tourism alone can not sustain NE Minnesota's economy. We need copper nickel mining to do that. This is why?,,,9,"@caseliskar,@SecretarySonny",positive,neg,,Negative
1.01645E+18,7/9/2018,RT @MinnesotaMiners: @POTUS @SecretarySonny @DOIDepSec @DOIPressSec @USRepRickNolan @RepTomEmmer @RepGosar @RepWesterman @JeffSmalls @RepJa?,,,9,"@MinnesotaMiners,@POTUS,@SecretarySonny,@DOIDepSec,@DOIPressSec,@USRepRickNolan,@RepTomEmmer,@RepGosar,@RepWesterman,@JeffSmalls",positive,neg,,Neither
1.01645E+18,7/9/2018,"RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?",,,47,"@peta,@utmbhealth,@USDA",positive,neg,,Negative
1.01645E+18,7/9/2018,RT @LaraLeaTrump: Thank u @SecretarySonny & John & Sadie Middleton! The Middletons are Maryland dog breeders taking great care to raise the?,,,148,"@LaraLeaTrump,@SecretarySonny",positive,pos,,Positive
1.01645E+18,7/9/2018,RT @MinnesotaMiners: @POTUS @SecretaryZinke @SecretarySonny @DOIDepSec @DOIPressSec @USRepRickNolan @RepTomEmmer @RepGosar @RepWesterman @J?,,,9,"@MinnesotaMiners,@POTUS,@SecretaryZinke,@SecretarySonny,@DOIDepSec,@DOIPressSec,@USRepRickNolan,@RepTomEmmer,@RepGosar,@RepWesterman",positive,neg,,Neither
1.01645E+18,7/9/2018,RT @USDA: Don't let food poisoning crash your #wedding! Check out these tips from @USDAFoodSafety - https://t.co/l5p1szCUVt https://t.co/lp?,#wedding,,13,"@USDA,@USDAFoodSafety",positive,neg,,Positive
1.01645E+18,7/9/2018,RT @MinnesotaMiners: @SecretarySonny Tourism alone can not sustain NE Minnesota's economy. We need copper nickel mining to do that. This is?,,,11,"@MinnesotaMiners,@SecretarySonny",positive,neg,,Negative
1.01645E+18,7/9/2018,@SecretarySonny Tourism alone can not sustain NE Minnesota's economy. We need copper nickel mining to do that. This? https://t.co/JRcKFnRj48,,,9,@SecretarySonny,positive,neg,,Negative
1.01645E+18,7/9/2018,@PeckAgEc @USDA_ARS @USDA_NRCS @USDAClimateHubs @JustinDernerWY @Wkolby @NREL_EcoPress @DroughtCenter I?d say that? https://t.co/7Ur4bq9Qfm,,,0,"@PeckAgEc,@USDA_ARS,@USDA_NRCS,@USDAClimateHubs,@JustinDernerWY,@Wkolby,@NREL_EcoPress,@DroughtCenter",positive,neg,,Neither
1.01645E+18,7/9/2018,RT @MinnesotaMiners: @POTUS @SecretarySonny @SecretaryZinke @SecretaryAcosta @USRepRickNolan @RepTomEmmer @RepTimWalz @RepErikPaulsen @RepJ?,,,9,"@MinnesotaMiners,@POTUS,@SecretarySonny,@SecretaryZinke,@SecretaryAcosta,@USRepRickNolan,@RepTomEmmer,@RepTimWalz,@RepErikPaulsen",positive,neg,,Neither
1.01644E+18,7/9/2018,"@James_Stacey_ ""Busy afternoon addressing the nation."" - @James_Stacey_ .",,,,,,neg,,Positive
1.01644E+18,7/9/2018,RT @PatriciaHammes2: @POTUS @RangeReporter @KarinHousley @RepTomEmmer @SecretaryZinke @SecretarySonny @GoPolyMet @TwinMetals @NatResources?,,,7,"@PatriciaHammes2,@POTUS,@RangeReporter,@KarinHousley,@RepTomEmmer,@SecretaryZinke,@SecretarySonny,@GoPolyMet,@TwinMetals,@NatResources",positive,neg,,Neither
1.01644E+18,7/9/2018,@GOBBLERODGER @USDA Nope. I was told there are 168 problems to be solved before its my turn in line.,,,0,"@GOBBLERODGER,@USDA",positive,neg,,Negative
1.01644E+18,7/9/2018,@MNSoyGrowers @realDonaldT @SecretarySonny This is what they voted for.  ,,,,,,pos,,Positive
1.01644E+18,7/9/2018,@peta @vegankindofgirl @utmbhealth @USDA deplorable ???,,,0,"@peta,@vegankindofgirl,@utmbhealth,@USDA",positive,neg,,Neither
1.01644E+18,7/9/2018,"RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?",,,47,"@peta,@utmbhealth,@USDA",positive,neg,,Negative
1.01644E+18,7/9/2018,"RT @KariHamerschlag: Workers in U.S. meat plants are 3x more likely than the average worker to suffer serious injuries, including amputatio?",,,8,@KariHamerschlag,positive,pos,,
1.01644E+18,7/9/2018,@SenatorFischer @USDA What about the farmers/farm communities going under in our State ? Please take a leadership role.,,,0,"@SenatorFischer,@USDA",positive,pos,,
1.01644E+18,7/9/2018,@USDA Launches Interactive Map of Opioid Epidemic Resources https://t.co/qXnf8EZqaV @usmayors @leagueofcities? https://t.co/Adpnh9dKI0,,,0,"@USDA,@usmayors,@leagueofcities",positive,neg,,
1.01644E+18,7/9/2018,RT @SenatorTester: Helped break ground on Pardue Grain?s new crop processing facility in Cut Bank of Friday! I was proud to help secure a $?,,,31,@SenatorTester,positive,neg,,
1.01644E+18,7/9/2018,"RT @JuneauEmpire: After visiting timber industry sites in Southeast #Alaska on Thursday, U.S. Department of Agriculture @SecretarySonny sai?",#Alaska,,2,"@JuneauEmpire,@SecretarySonny",positive,pos,,
1.01644E+18,7/9/2018,"RT @USDA_NRCS: Just as smart driving conserves fuel, smart farming conserves soil, water & other natural resources. Follow our #Conservatio?",,,8,@USDA_NRCS,positive,pos,,
