tweetId,tweetDate,tweetText,hashtagList,location,numberRetweets,userMentions_userName,tweetTextSent,tweetSentiment
1029517642988703744,08-14-2018,RT @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?,,,153.0,"@ASPCA,@USDA", @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?,neg
1029517597656530945,08-14-2018,RT @SecretarySonny: More free-flowing conversations with California producers at Joseph Gallo Farms in Atwater. Able to catch a quick tour?,,,20.0,@SecretarySonny, @SecretarySonny: More free-flowing conversations with California producers at Joseph Gallo Farms in Atwater. Able to catch a quick tour?,pos
1029517580132741121,08-14-2018,RT @SecretarySonny: Well-attended town hall event in Modesto with @RepJeffDenham. Heard from folks on a variety of topics: state water issu?,,,20.0,"@SecretarySonny,@RepJeffDenham", @SecretarySonny: Well-attended town hall event in Modesto with @RepJeffDenham. Heard from folks on a variety of topics: state water issu?,pos
1029517569357533184,08-14-2018,"RT @SecretarySonny: Continuing our California trip w/visit to Modesto farm of Paul Wenger, 3rd generation farmer & past president of @CAFar?",,,30.0,@SecretarySonny," @SecretarySonny: Continuing our California trip w/visit to Modesto farm of Paul Wenger, 3rd generation farmer & past president of @CAFar?",pos
1029516741326471168,08-14-2018,RT @USDA_NRCS: #DYK there are more microbes in a teaspoon of healthy soil than there are people on Earth? https://t.co/pEHIAnQEdR #soilheal?,#DYK,,43.0,@USDA_NRCS, @USDA_NRCS: #DYK there are more microbes in a teaspoon of healthy soil than there are people on Earth? https://t.co/pEHIAnQEdR #soilheal?,neg
1029516715154186240,08-14-2018,RT @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?,,,153.0,"@ASPCA,@USDA", @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?,neg
1029516680563552256,08-14-2018,RT @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?,,,153.0,"@ASPCA,@USDA", @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?,neg
1029516258973081600,08-14-2018,@ASPCA @DaveBautista @USDA Signed!,,,0.0,"@ASPCA,@DaveBautista,@USDA",@ASPCA @DaveBautista @USDA Signed!,pos
1029516243462709248,08-14-2018,RT @ArcelorMittalUS: ? @SOGL Partnership Awards $6.6 Million in Conservation Grants for Great Lakes Restoration >> https://t.co/uB1V0sSsAd?,,,5.0,"@ArcelorMittalUS,@SOGL", @ArcelorMittalUS: ? @SOGL Partnership Awards $6.6 Million in Conservation Grants for Great Lakes Restoration >> https://t.co/uB1V0sSsAd?,pos
1029515999886733313,08-14-2018,RT @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?,,,153.0,"@ASPCA,@USDA", @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?,neg
1029515697192361985,08-14-2018,RT @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?,,,153.0,"@ASPCA,@USDA", @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?,neg
1029515579454119936,08-14-2018,RT @USDA_NRCS: #DYK there are more microbes in a teaspoon of healthy soil than there are people on Earth? https://t.co/pEHIAnQEdR #soilheal?,#DYK,,43.0,@USDA_NRCS, @USDA_NRCS: #DYK there are more microbes in a teaspoon of healthy soil than there are people on Earth? https://t.co/pEHIAnQEdR #soilheal?,neg
1029515560822943745,08-14-2018,RT @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?,,,153.0,"@ASPCA,@USDA", @ASPCA: Tell the @USDA: Abandon proposal that would increase cruelty at pig slaughterhouses. Sign the petition: https://t.co/nuayb3BFfM?,neg
