tweetId,tweetDate,tweetText,hashtagList,location,numberRetweets,"userMentions_userName,,,,,,,,,,",tweetSentiment
1026981202870321152,08-07-2018,RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?,,,733.0,"@WhiteHouse,@USDA,,,,,,,,,",neg
1026981193072488448,08-07-2018,@TroKalayjian @skeila @AlanLevinovitz @NutritionWonk @USDA It's veg not vegan so not relying heavily on supplements? https://t.co/4lpEBIuUWR,,,0.0,"@TroKalayjian,@skeila,@AlanLevinovitz,@NutritionWonk,@USDA,,,,,,",neg
1026981147014823940,08-07-2018,RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?,,,733.0,"@WhiteHouse,@USDA,,,,,,,,,",neg
1026980889639768064,08-07-2018,RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?,,,733.0,"@WhiteHouse,@USDA,,,,,,,,,",neg
1026980885185417217,08-07-2018,RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?,,,733.0,"@WhiteHouse,@USDA,,,,,,,,,",neg
1026980760417226752,08-07-2018,".@OIEAnimalHealth .@WHO .@UN .@UNESCO .@USDA The meat is worth more the longer the #Animals Live, so they do this O? https://t.co/rKZ7uPGyj1",#Animals,,3.0,"@OIEAnimalHealth,@WHO,@UN,@UNESCO,@USDA,,,,,",neg
1026980718834929665,08-07-2018,RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?,,,733.0,"@WhiteHouse,@USDA,,,,,,,,,",neg
1026980638371577856,08-07-2018,@kk_nguyen @AngieCraigMN @Jason2CD @USDA Only a Democrat could classify creating federal government jobs in the D.C? https://t.co/rUdH7qkDYA,,,0.0,"@kk_nguyen,@AngieCraigMN,@Jason2CD,@USDA,,,,,,,",neg
1026980636161003521,08-07-2018,@Wallydog12967 @RachelSuperEli1 @WhiteHouse @USDA Yeah... u mad. https://t.co/VozgXn8zkv,,,1.0,"@Wallydog12967,@RachelSuperEli1,@WhiteHouse,@USDA,,,,,,,",pos
1026980635016089600,08-07-2018,RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?,,,733.0,"@WhiteHouse,@USDA,,,,,,,,,",neg
1026980576073588737,08-07-2018,"RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?",#BetterOffNow,,305.0,"@SteveScalise,@USDA,,,,,,,,",neg
1026980455277576193,08-07-2018,@skeila @NutritionWonk @kcklatt @AlanLevinovitz @USDA It?s no fun if it?s pick your own... at least randomize,,,0.0,"@skeila,@NutritionWonk,@kcklatt,@AlanLevinovitz,@USDA,,,,,,",neg
1026980417151397888,08-07-2018,"RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?",#BetterOffNow,,305.0,"@SteveScalise,@USDA,,,,,,,,",neg
1026980266999463938,08-07-2018,@macgowans @SteveScalise @USDA @GOP @VP Beat me to it.,,,0.0,"@macgowans,@SteveScalise,@USDA,@GOP,@VP,,,,,,",pos
1026980265409896448,08-07-2018,"RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?",#BetterOffNow,,305.0,"@SteveScalise,@USDA,,,,,,,,",neg
1026980256396312581,08-07-2018,RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?,,,733.0,"@WhiteHouse,@USDA,,,,,,,,,",neg
1026980241741410305,08-07-2018,"@SteveScalise @USDA Scalise is a liar. People are worse off. Paying more money for insurance, higher deductibles, h? https://t.co/xxaFF062Kt",,,3.0,"@SteveScalise,@USDA,,,,,,,",neg
1026980183834652672,08-07-2018,"RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?",#BetterOffNow,,305.0,"@SteveScalise,@USDA,,,,,,,,",neg
1026980166654984194,08-07-2018,"@SteveScalise @USDA You are Dead Wrong Steve, the only family?s that are better off are wealthy families, sharehold? https://t.co/aJGMDMp2EQ",,,5.0,"@SteveScalise,@USDA,,,,,,,",pos
1026980140763553797,08-07-2018,@SteveScalise @USDA Yet black women make 59 cents to every $1 made by a white man. This is booming? Don't think so.,,,1.0,"@SteveScalise,@USDA,,,,,,,,,",neg
1026979988921364481,08-07-2018,@WhiteHouse @USDA  https://t.co/Yd0jWRgKuS,,,0.0,"@WhiteHouse,@USDA,,,,,,,,,",neg
1026979874962071557,08-07-2018,RT @usdafsa: Need help with ag losses from 2017 #hurricanes & #wildfires? Apply today. https://t.co/GAkNuPl7r9 https://t.co/iUwSz90qrB,"#hurricanes,#wildfires",,21.0,"@usdafsa,,,,,,,,,",neg
1026979871828992001,08-07-2018,"RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?",#BetterOffNow,,305.0,"@SteveScalise,@USDA,,,,,,,,",neg
1026979812815056896,08-07-2018,RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?,,,733.0,"@WhiteHouse,@USDA,,,,,,,,,",neg
1026979792220909568,08-07-2018,"RT @SageWithAge: @SteveScalise @USDA THANKS TO PRESIDENT O'BAMA FOR BRINGING US THROUGH ONE OF THE WORST ECONOMIC DISASTERS!  Of course, no?",,,4.0,"@SageWithAge,@SteveScalise,@USDA,,,,,,,",pos
1026979752169467904,08-07-2018,RT @DemiWuflower: @WhiteHouse @USDA The Trump administration continues to prioritize the opening of new markets for U.S. agricultural produ?,,,1.0,"@DemiWuflower,@WhiteHouse,@USDA,,,,,,,,",pos
1026979733949636610,08-07-2018,"RT @USDA: Agriculture @SecretarySonny proclaims August 5-11,2018, as National #FarmersMarketWeek - https://t.co/gXXKyd2RxH https://t.co/vE?",#FarmersMarketWeek,,62.0,"@USDA,@SecretarySonny,,,,,,,",pos
1026979681533341696,08-07-2018,RT @macgowans: @SteveScalise @USDA You LIE. My family's going bankrupt due directly to @GOP decimation of affordable healthcare. No doctors?,,,14.0,"@macgowans,@SteveScalise,@USDA,@GOP,,,,,,,",neg
1026979678370885634,08-07-2018,@Wallydog12967 @GowdyBoogaloo @RachelSuperEli1 @WhiteHouse @USDA Stop whining.,,,0.0,"@Wallydog12967,@GowdyBoogaloo,@RachelSuperEli1,@WhiteHouse,@USDA,,,,,,",neg
1026979647450505216,08-07-2018,.@collinpeterson concerned about @USDA trade aid package https://t.co/QamzYkCuwB #Farmfest18 #agnews @brownfield,"#Farmfest18,#agnews",,0.0,"@collinpeterson,@USDA,@brownfield,,,,,,,",pos
1026979575903993857,08-07-2018,RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?,,,733.0,"@WhiteHouse,@USDA,,,,,,,,,",neg
1026979568039673856,08-07-2018,@MikaylaStone8 @AngieCraigMN @Jason2CD @USDA You want farmers to fail with their tradewar soybean losses?  Trump is? https://t.co/suqXp6RWzh,,,0.0,"@MikaylaStone8,@AngieCraigMN,@Jason2CD,@USDA,,,,,,,",neg
1026979445108891649,08-07-2018,RT @WhiteHouse: A win for American agriculture: @USDA announced today that Morocco will allow commercial imports of U.S. poultry for the fi?,,,733.0,"@WhiteHouse,@USDA,,,,,,,,,",neg
1026979440444760064,08-07-2018,"RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?",#BetterOffNow,,305.0,"@SteveScalise,@USDA,,,,,,,,",neg
1026979383700086784,08-07-2018,"RT @SteveScalise: Our economy is booming. American families are #BetterOffNow. According to the @USDA, millions of people have stopped rely?",#BetterOffNow,,305.0,"@SteveScalise,@USDA,,,,,,,,",neg
1026979313147629568,08-07-2018,RT @write2bheard1: @SteveScalise @USDA Another contender for Great American Liar contest. Believe it or not some of us actually read the EN?,,,5.0,"@write2bheard1,@SteveScalise,@USDA,,,,,,,,",pos
1026979306843582464,08-07-2018,RT @fionawoods46: @SteveScalise @USDA Ins went up. Deductible way too high. Meds too high. Your tweet is delusional and out of touch with r?,,,1.0,"@fionawoods46,@SteveScalise,@USDA,,,,,,,,",neg
1026979299163873280,08-07-2018,RT @usdafsa: Need help with ag losses from 2017 #hurricanes & #wildfires? Apply today. https://t.co/GAkNuPl7r9 https://t.co/iUwSz90qrB,"#hurricanes,#wildfires",,21.0,"@usdafsa,,,,,,,,,",neg
1026979290565500933,08-07-2018,RT @macgowans: @SteveScalise @USDA You LIE. My family's going bankrupt due directly to @GOP decimation of affordable healthcare. No doctors?,,,14.0,"@macgowans,@SteveScalise,@USDA,@GOP,,,,,,,",neg
1026979282176757760,08-07-2018,RT @Jillsey11: @SteveScalise @USDA By ballooning the deficit and deregulating banks? Sounds like a pending recipe for disaster. When are yo?,,,5.0,"@Jillsey11,@SteveScalise,@USDA,,,,,,,,",pos
1026979280557887488,08-07-2018,RT @macgowans: @SteveScalise @USDA You LIE. My family's going bankrupt due directly to @GOP decimation of affordable healthcare. No doctors?,,,14.0,"@macgowans,@SteveScalise,@USDA,@GOP,,,,,,,",neg
1026979271573729280,08-07-2018,"RT @KnowYourObama: @SteveScalise @USDA Uh, no. that would be Obama's economic policies. trump is putting us in reverse https://t.co/9oyQH3n?",,,9.0,"@KnowYourObama,@SteveScalise,@USDA,,,,,,,",neg
1026979252133081089,08-07-2018,"RT @EEmersonWhite: @SteveScalise @USDA My rates went _way_ up this year, and my deductible is almost ten times higher, making the insurance?",,,14.0,"@EEmersonWhite,@SteveScalise,@USDA,,,,,,",neg
